,uname,label,catmaid_names,type,side,neurotransmitter,locality,neuropil,source,skid
0,OSN-13a_7527710,OSN-13a,13a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,7527710
1,OSN-13a_4073353,OSN-13a,13a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,4073353
2,OSN-1a_2611805,OSN-1a,1a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,2611805
3,OSN-1a_2582391,OSN-1a,1a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,2582391
4,OSN-22c_40045,OSN-22c,22c ORN left,OSN,left,acetylcholine,input,AL,Berck2016,40045
5,OSN-22c_3954014,OSN-22c,22c ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3954014
6,OSN-24a_3592997,OSN-24a,24a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3592997
7,OSN-24a_3865952,OSN-24a,24a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3865952
8,OSN-30a_3768025,OSN-30a,30a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3768025
9,OSN-30a_2584838,OSN-30a,30a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,2584838
10,OSN-33a_3708875,OSN-33a,33a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3708875
11,OSN-33a_3872653,OSN-33a,33a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3872653
12,OSN-35a_3465659,OSN-35a,35a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3465659
13,OSN-35a_3840345,OSN-35a,35a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3840345
14,OSN-42a_3464773,OSN-42a,42a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3464773
15,OSN-42a_3827211,OSN-42a,42a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3827211
16,OSN-42b_3410499,OSN-42b,42b ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3410499
17,OSN-42b_2608843,OSN-42b,42b ORN right,OSN,right,acetylcholine,input,AL,Berck2016,2608843
18,OSN-45a_3716797,OSN-45a,45a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3716797
19,OSN-45a_3963891,OSN-45a,45a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3963891
20,OSN-45b_5090549,OSN-45b,45b ORN left,OSN,left,acetylcholine,input,AL,Berck2016,5090549
21,OSN-45b_3813723,OSN-45b,45b ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3813723
22,OSN-47a_&_33b_3694515,OSN-47a-&-33b,47a & 33b ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3694515
23,OSN-47a_&_33b_3896629,OSN-47a-&-33b,47a & 33b ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3896629
24,OSN-49a_3771794,OSN-49a,49a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3771794
25,OSN-49a_7658146,OSN-49a,49a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,7658146
26,OSN-59a_6340439,OSN-59a,59a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,6340439
27,OSN-59a_4076389,OSN-59a,59a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,4076389
28,OSN-63a_3158543,OSN-63a,63a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3158543
29,OSN-63a_7719547,OSN-63a,63a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,7719547
30,OSN-67b_6791927,OSN-67b,67b ORN left,OSN,left,acetylcholine,input,AL,Berck2016,6791927
31,OSN-67b_3790004,OSN-67b,67b ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3790004
32,OSN-74a_7542938,OSN-74a,74a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,7542938
33,OSN-74a_3885215,OSN-74a,74a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3885215
34,OSN-82a_3774568,OSN-82a,82a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3774568
35,OSN-82a_3980315,OSN-82a,82a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3980315
36,OSN-83a_3547397,OSN-83a,83a ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3547397
37,OSN-83a_2571761,OSN-83a,83a ORN right,OSN,right,acetylcholine,input,AL,Berck2016,2571761
38,OSN-85c_3410506,OSN-85c,85c ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3410506
39,OSN-85c_3893195,OSN-85c,85c ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3893195
40,OSN-94a_&_94b_3511996,OSN-94a-&-94b,94a & 94b ORN left,OSN,left,acetylcholine,input,AL,Berck2016,3511996
41,OSN-94a_&_94b_3958234,OSN-94a-&-94b,94a & 94b ORN right,OSN,right,acetylcholine,input,AL,Berck2016,3958234
42,broad-D1_7941652,broad-D1,broad D1 left,broad,left,GABA,local,AL,Berck2016,7941652
43,broad-D1_8198416,broad-D1,broad D1 right,broad,right,GABA,local,AL,Berck2016,8198416
44,broad-D2_7941642,broad-D2,broad D2 left,broad,left,GABA,local,AL,Berck2016,7941642
45,broad-D2_8198513,broad-D2,broad D2 right,broad,right,GABA,local,AL,Berck2016,8198513
46,broad-T1_7939979,broad-T1,broad T1 left,broad,left,GABA,local,AL,Berck2016,7939979
47,broad-T1_8198317,broad-T1,broad T1 right,broad,right,GABA,local,AL,Berck2016,8198317
48,broad-T2_8311264,broad-T2,broad T2 left,broad,left,GABA,local,AL,Berck2016,8311264
49,broad-T2_8198238,broad-T2,broad T2 right,broad,right,GABA,local,AL,Berck2016,8198238
50,broad-T3_7939890,broad-T3,broad T3 left,broad,left,GABA,local,AL,Berck2016,7939890
51,broad-T3_6557581,broad-T3,broad T3 right,broad,right,GABA,local,AL,Berck2016,6557581
52,choosy-1_7394271,choosy-1,choosy 1 left,choosy,left,GABA,local,AL,Berck2016,7394271
53,choosy-1_8231264,choosy-1,choosy 1 right,choosy,right,GABA,local,AL,Berck2016,8231264
54,choosy-2_8273369,choosy-2,choosy 2 left,choosy,left,GABA,local,AL,Berck2016,8273369
55,choosy-2_4247099,choosy-2,choosy 2 right,choosy,right,GABA,local,AL,Berck2016,4247099
56,clamp_10158972,clamp,clamp right,SEZInterneuron,right,unknown,output,AL,Berck2016,10158972
57,CSD_13849557,CSD,CSD left,LHN,left,serotonin,input,AL,Berck2016,13849557
58,CSD_6143930,CSD,CSD right,LHN,right,serotonin,input,AL,Berck2016,6143930
59,cypress_17545695,cypress,cypress left,SEZInterneuron,left,unknown,output,AL,Berck2016,17545695
60,cypress_14154154,cypress,cypress right,SEZInterneuron,right,unknown,output,AL,Berck2016,14154154
61,LHN_17844900,Giant-step,Giant-step left,LHN,unknown,unknown,unknown,unknown,Berck2016,17844900
62,ginkgo-1_13380660,ginkgo-1,ginkgo 1 left,SEZInterneuron,left,unknown,output,AL,Berck2016,13380660
63,ginkgo-1_14517691,ginkgo-1,ginkgo 1 right,SEZInterneuron,right,unknown,output,AL,Berck2016,14517691
64,keystone_5030808,keystone,keystone left,keystone,left,GABA,local,"AL,SEZ",Berck2016,5030808
65,keystone_10831005,keystone,keystone right,keystone,right,GABA,local,AL,Berck2016,10831005
66,mPN-cobra_8509534,mPN-cobra,mPN cobra left,mPN,left,unknown,output,AL,Berck2016,8509534
67,mPN-cobra_16515871,mPN-cobra,mPN cobra right,mPN,right,unknown,output,AL,Berck2016,16515871
68,mPN-D_6451332,mPN-D,mPN D left,mPN,left,unknown,output,AL,Berck2016,6451332
69,mPN-D_3538129,mPN-D,mPN D right,mPN,right,unknown,output,AL,Berck2016,3538129
70,mPN-iACT_A1_8276782,mPN-iACT-A1,mPN iACT A1 left,mPN,left,unknown,output,AL,Berck2016,8276782
71,mPN-iACT_A2_5261424,mPN-iACT-A2,mPN iACT A2 left,mPN,left,unknown,output,AL,Berck2016,5261424
72,mPN-iACT_A2_4679139,mPN-iACT-A2,mPN iACT A2 right,mPN,right,unknown,output,AL,Berck2016,4679139
73,mPN-iACT_B1_2568465,mPN-iACT-B1,mPN iACT B1_left,mPN,left,unknown,output,AL,Berck2016,2568465
74,mPN-iACT_B1_10167078,mPN-iACT-B1,mPN iACT B1_right,mPN,right,unknown,output,AL,Berck2016,10167078
75,mPN-iACT_B2_3450442,mPN-iACT-B2,mPN iACT B2 left,mPN,left,unknown,output,AL,Berck2016,3450442
76,mPN-iACT_B2_4700078,mPN-iACT-B2,mPN iACT B2 right,mPN,right,unknown,output,AL,Berck2016,4700078
77,mPN-iACT_B3_8704079,mPN-iACT-B3,mPN iACT B3 left,mPN,left,unknown,output,AL,Berck2016,8704079
78,mPN-iACT_B3_16735586,mPN-iACT-B3,mPN iACT B3 right,mPN,right,unknown,output,AL,Berck2016,16735586
79,mPN-iACT_C1_9589146,mPN-iACT-C1,mPN iACT C1 left,mPN,left,unknown,output,AL,Berck2016,9589146
80,mPN-iACT_C1_7503199,mPN-iACT-C1,mPN iACT C1 right,mPN,right,unknown,output,AL,Berck2016,7503199
81,mPN-iACT_VUM_9119558,mPN-iACT-VUM,mPN iACT VUM L,mPN,left,unknown,output,AL,Berck2016,9119558
82,mPN-iACT_VUM_10990803,mPN-iACT-VUM,mPN iACT VUM R,mPN,right,unknown,output,"AL,SEZ",Berck2016,10990803
83,mPN-seahorse_8480221,mPN-iACT-seahorse,mPN seahorse left,mPN,left,unknown,output,AL,Berck2016,8480221
84,mPN-seahorse_4324898,mPN-iACT-seahorse,mPN seahorse right,mPN,right,unknown,output,AL,Berck2016,4324898
85,picky-0_5291791,picky-0,picky 0 left,picky,left,glutamate,local,AL,Berck2016,5291791
86,picky-0_8199671,picky-0,picky 0 right,picky,right,glutamate,local,AL,Berck2016,8199671
87,picky-1_8102935,picky-1,picky 1 left,picky,left,glutamate,local,AL,Berck2016,8102935
88,picky-1_7600311,picky-1,picky 1 right,picky,right,glutamate,local,AL,Berck2016,7600311
89,picky-2_8877971,picky-2,picky 2 left,picky,left,glutamate,local,AL,Berck2016,8877971
90,picky-2_3806573,picky-2,picky 2 right,picky,right,glutamate,local,AL,Berck2016,3806573
91,picky-3_8274021,picky-3,picky 3 left,picky,left,glutamate,local,AL,Berck2016,8274021
92,picky-3_11051276,picky-3,picky 3 right,picky,right,glutamate,local,AL,Berck2016,11051276
93,picky-4_10555409,picky-4,picky 4 left,picky,left,glutamate,local,AL,Berck2016,10555409
94,picky-4_5247102,picky-4,picky 4 right,picky,right,glutamate,local,AL,Berck2016,5247102
95,LHON_13803032,LHON,Projection from LH 2_right,LHON,right,unknown,output,LH,Berck2016,13803032
96,spruce_14437742,spruce,spruce left,SEZInterneuron,left,unknown,output,AL,Berck2016,14437742
97,spruce_3806652,spruce,spruce right,SEZInterneuron,right,unknown,output,AL,Berck2016,3806652
98,ventral-LN_8877795,ventral-LN,ventral LN left,ventral,left,unknown,local,AL,Berck2016,8877795
99,ventral-LN_3805641,ventral-LN,ventral LN right,ventral-LN,right,unknown,local,"AL,SEZ",Berck2016,3805641
100,vine_3486950,vine,vine left,SEZInterneuron,left,unknown,output,AL,Berck2016,3486950
101,vine_4700182,vine,vine right,SEZInterneuron,right,unknown,output,AL,Berck2016,4700182
102,PMN_3995976,A01d3-a1l,A01d3_a1l,PMN,unknown,unknown,unknown,unknown,"Burgos2018,Dombrovski2019,Zarin2019",3995976
103,PMN_18145093,A02g-a1r,A02g_a1r,PMN,unknown,glutamate,unknown,unknown,"Burgos2018,Kohsaka2019,Zarin2019",18145093
104,PMN_10015769,A27j-a1r,A27j_a1r,PMN,unknown,GABA,unknown,unknown,"Burgos2018,Zarin2019",10015769
105,PMN_4727546,A18b-a1r,A18b_a1r,PMN,unknown,unknown,unknown,unknown,"Carreira-Rosario2018,Zarin2019",4727546
106,PMN_10219170,A27l-a1l,A27l_a1l,PMN,unknown,unknown,unknown,unknown,"Carreira-Rosario2018,Zarin2019",10219170
107,PMN_10499711,A27l-a1r,A27l_a1r,PMN,unknown,unknown,unknown,unknown,"Carreira-Rosario2018,Zarin2019",10499711
108,PMN_5355175,A27l-a2r,A27l_a2r,PMN,unknown,unknown,unknown,unknown,"Carreira-Rosario2018,Zarin2019",5355175
109,PMN_4213417,A27k-a1l,A27k_a1l,PMN,unknown,unknown,unknown,unknown,"Carreira-Rosario2018,Zarin2019,Fushiki2016,Burgos2018",4213417
110,PMN_12039793,A06g2-a1l-(Saaghi-5),A06g2_a1l (Saaghi-5),PMN,unknown,GABA,unknown,unknown,Dombrovski2019,12039793
111,PMN_10089252,A03EGB-a2l-(EGHBAL),A03EGB_a2l (EGHBAL),PMN,unknown,acetylcholine,unknown,unknown,"Dombrovski2019,Fushiki2016,Zarin2019",10089252
112,PMN_11106522,A01x2-a1l,A01x2_a1l,PMN,unknown,unknown,unknown,unknown,"Dombrovski2019,Zarin2019",11106522
113,PMN_10858401,A06a-a1l,A06a_a1l,PMN,unknown,GABA,unknown,unknown,"Dombrovski2019,Zarin2019",10858401
114,MBIN-e1_14541927,MBIN-e1,AVM011f left,MBIN,left,unknown,input,MB,Eichler2017,14541927
115,MBIN-e1_4235139,MBIN-e1,AVM011f right,MBIN,right,unknown,input,MB,Eichler2017,4235139
116,KC_8318678,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,8318678
117,KC_11691640,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,11691640
118,KC_14255342,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,14255342
119,KC_15691114,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,15691114
120,KC_15722306,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,15722306
121,KC_16627950,KC-no-claws,KC no claws,KC,left,acetylcholine,local,MB,Eichler2017,16627950
122,KC_3819157,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,3819157
123,KC_3819171,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,3819171
124,KC_4134539,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,4134539
125,KC_4411505,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,4411505
126,KC_4412036,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,4412036
127,KC_4518546,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,4518546
128,KC_6702830,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,6702830
129,KC_8177991,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8177991
130,KC_8248706,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8248706
131,KC_8262503,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8262503
132,KC_8263140,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8263140
133,KC_8263285,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8263285
134,KC_8393981,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8393981
135,KC_8513389,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8513389
136,KC_8864096,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8864096
